"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72224754785","2022-01-01","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  50.4","24","  50.1","24","1008.4"," 6","005.9","24","  2.6","24","  0.7","24","  2.9","999.9","  55.0"," ","  45.0"," "," 0.03","G","999.9","110000"
"72224754785","2022-01-02","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  54.2","24","  51.9","24","1003.9"," 9","999.0","24","  6.8","24","  3.3","24"," 13.0"," 20.0","  60.1"," ","  42.1"," "," 0.61","G","999.9","010000"
"72224754785","2022-01-03","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  32.5","24","  19.6","24","1017.9","24","014.2","24"," 10.0","24","  7.5","23"," 12.0"," 19.0","  39.0","*","  28.0","*"," 0.03","G","999.9","000000"
"72224754785","2022-01-04","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  24.8","24","  10.9","24","1027.7","24","023.8","24"," 10.0","24","  3.0","24","  9.9","999.9","  35.1"," ","  16.0"," "," 0.00","G","999.9","000000"
"72224754785","2022-01-05","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  30.1","24","  26.7","24","1017.7","21","013.4","24","  8.2","24","  1.2","24","  6.0","999.9","  46.4","*","  19.9","*"," 0.01","G","999.9","001000"
"72224754785","2022-01-06","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  31.9","24","  22.0","24","1010.7","22","006.5","24","  7.8","24","  2.8","24","  9.9"," 20.0","  46.0"," ","  19.9"," "," 0.00","I","999.9","000000"
"72224754785","2022-01-07","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  29.4","24","  22.6","24","1011.8","14","008.0","24","  4.7","24","  6.3","24"," 13.0"," 22.9","  37.9"," ","  24.1"," "," 0.23","G","999.9","101000"
"72224754785","2022-01-08","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  23.1","24","   8.4","24","1030.9","24","027.1","24"," 10.0","24","  4.0","23"," 12.0"," 15.9","  34.0"," ","  10.0"," "," 0.01","G","999.9","000000"
"72224754785","2022-01-09","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  25.0","24","  21.1","24","1027.6","21","022.3","24","  8.9","24","  1.0","23","  6.0","999.9","  37.9"," ","  10.0"," "," 0.00","G","999.9","011000"
"72224754785","2022-01-10","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  31.6","24","  18.5","24","1019.0","23","015.0","24","  9.0","24","  7.4","23"," 15.9"," 22.9","  37.9"," ","  12.0"," "," 0.12","G","999.9","010000"
"72224754785","2022-01-11","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  19.6","24","   0.4","24","1029.4","24","025.4","24","  9.7","24","  7.6","24"," 15.9"," 22.9","  37.9"," ","  12.9"," "," 0.00","G","999.9","001000"
"72224754785","2022-01-12","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  19.9","24","  11.8","24","1025.1","24","021.2","24"," 10.0","24","  1.0","24","  4.1","999.9","  41.0"," ","   8.1"," "," 0.00","G","999.9","000000"
"72224754785","2022-01-13","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  32.8","24","  23.8","24","1016.0","24","012.2","24"," 10.0","24","  0.1","21","  2.9","999.9","  48.9","*","  24.1","*"," 0.00","G","999.9","000000"
"72224754785","2022-01-14","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  35.0","24","  25.6","24","1009.7","24","005.9","24"," 10.0","24","  7.0","23"," 15.0"," 24.1","  48.9"," ","  23.0"," "," 0.00","G","999.9","000000"
"72224754785","2022-01-15","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  18.0","24","  -3.3","24","1022.1","24","018.2","24"," 10.0","24","  7.7","23"," 14.0"," 24.1","  45.0"," ","   9.0"," "," 0.00","G","999.9","000000"
"72224754785","2022-01-16","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  14.9","24","   3.0","24","1027.5","23","023.2","24","  9.6","24","  3.2","24","  7.0"," 14.0","  27.0"," ","   1.0"," "," 0.00","G","999.9","001000"
"72224754785","2022-01-17","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  36.3","24","  32.5","24"," 990.8","17","989.5","24","  6.5","24","  7.0","24"," 15.9"," 26.0","  43.0","*","  27.0","*"," 1.35","G","999.9","011000"
"72224754785","2022-01-18","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  33.2","24","  17.9","24","1007.4","24","003.6","24"," 10.0","24","  8.9","22"," 17.1"," 29.9","  43.0"," ","  26.1"," "," 0.02","G","999.9","000000"
"72224754785","2022-01-19","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  30.8","24","  20.9","24","1018.6","24","014.8","24"," 10.0","24","  2.4","22","  9.9"," 17.1","  50.0"," ","  17.1"," "," 0.00","G","999.9","000000"
"72224754785","2022-01-20","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  34.5","24","  25.5","24","1018.7","17","014.8","24","  7.3","24","  4.5","24"," 11.1"," 17.1","  50.0"," ","  17.1"," "," 0.18","G","999.9","111000"
"72224754785","2022-01-21","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  19.1","24","   0.6","24","1032.2","24","028.3","24"," 10.0","24","  7.4","24"," 11.1"," 18.1","  25.0","*","  14.0","*"," 0.08","G","999.9","000000"
"72224754785","2022-01-22","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  20.0","24","   1.4","24","1029.3","24","025.4","24"," 10.0","24","  3.6","23","  6.0","999.9","  32.0"," ","   9.0"," "," 0.00","G","999.9","000000"
"72224754785","2022-01-23","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  23.8","24","  14.4","24","1014.9","23","010.8","24","  9.4","24","  1.8","21","  8.0","999.9","  37.0"," ","   9.0"," "," 0.00","G","999.9","001000"
"72224754785","2022-01-24","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  27.6","24","  20.3","24","1011.5","18","007.1","24","  6.4","24","  1.7","24","  6.0","999.9","  37.0"," ","  12.0"," "," 0.01","G","999.9","001000"
"72224754785","2022-01-25","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  33.9","24","  23.1","24","1012.6","24","008.8","24","  9.8","24","  2.9","22"," 11.1"," 15.0","  43.0"," ","  21.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-01-26","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  23.8","24","   7.8","24","1025.5","24","021.6","24"," 10.0","24","  5.0","23"," 13.0"," 19.0","  43.0"," ","  12.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-01-27","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  18.0","24","   5.8","24","1030.1","24","026.1","24"," 10.0","24","  2.2","23","  8.0","999.9","  33.1"," ","   6.1"," "," 0.00","G","999.9","000000"
"72224754785","2022-01-28","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  28.2","24","  21.3","24","1021.3","16","016.8","24","  7.3","24","  1.1","24","  6.0","999.9","  35.1"," ","   6.1"," "," 0.00","G","999.9","001000"
"72224754785","2022-01-29","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  23.2","24","  15.5","24","1007.9","14","005.3","24","  3.2","24"," 10.1","24"," 15.0"," 25.1","  35.1"," ","  17.1"," "," 0.16","G","999.9","101000"
"72224754785","2022-01-30","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  15.9","24","   0.1","24","1014.7","24","010.8","24","  9.8","24","  6.1","24"," 15.0"," 22.0","  28.9"," ","   5.0"," "," 0.01","G","999.9","000000"
"72224754785","2022-01-31","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  18.1","24","   7.2","24","1025.4","24","021.4","24"," 10.0","24","  0.6","23","  2.9","999.9","  35.1"," ","   1.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-01","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  20.1","24","  11.6","24","1032.8","24","028.8","24","  9.9","24","  2.5","23","  6.0","999.9","  39.0"," ","   1.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-02","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  28.4","24","  24.9","24","1031.1","17","027.2","24","  7.6","24","  1.6","21","  5.1","999.9","  46.0"," ","   3.9"," "," 0.00","G","999.9","100000"
"72224754785","2022-02-03","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  38.9","24","  38.6","24","1025.5"," 8","020.2","24","  1.5","24","  0.4","23","  4.1","999.9","  44.1","*","  35.6","*"," 0.05","G","999.9","110000"
"72224754785","2022-02-04","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  41.6","24","  40.5","24","1012.7","12","009.1","24","  4.8","24","  3.8","23"," 11.1"," 22.0","  57.0"," ","  33.1"," "," 0.61","G","999.9","010000"
"72224754785","2022-02-05","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  26.3","24","  13.4","24","1022.6","22","018.2","24"," 10.0","24","  9.1","23"," 15.0"," 21.0","  33.1","*","  21.9","*"," 0.48","G","999.9","000000"
"72224754785","2022-02-06","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  21.7","24","   7.3","24","1035.3","24","031.3","24"," 10.0","24","  3.7","23","  8.0"," 18.1","  34.0"," ","  10.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-07","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  30.8","24","  27.7","24","1029.3","13","023.2","24","  6.3","24","  2.0","23","  6.0","999.9","  39.0"," ","  10.9"," "," 0.00","G","999.9","111000"
"72224754785","2022-02-08","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  36.5","24","  30.0","24","1014.2","22","011.0","24","  8.1","24","  4.1","24","  8.9"," 17.1","  44.1"," ","  25.0"," "," 0.03","G","999.9","000000"
"72224754785","2022-02-09","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  33.5","24","  20.1","24","1017.2","24","013.4","24","  9.7","24","  2.5","23","  6.0","999.9","  50.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-10","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  38.1","24","  25.6","24","1011.6","24","007.9","24","  9.9","24","  2.5","24"," 11.1"," 24.1","  55.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-11","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  39.7","24","  23.6","24","1013.9","24","010.1","24"," 10.0","24","  3.6","24"," 11.1"," 19.0","  61.0"," ","  21.0"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-12","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  43.7","24","  28.8","24","1012.7","24","008.9","24"," 10.0","24","  4.4","24"," 14.0"," 22.9","  61.0"," ","  21.0"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-13","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  34.9","24","  26.4","24","1019.1","14","015.8","24","  6.0","24","  4.3","24","  8.9"," 15.0","  57.9"," ","  30.0"," "," 0.10","G","999.9","001000"
"72224754785","2022-02-14","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  21.8","24","   3.7","24","1020.4","24","016.5","24","  9.7","24","  8.4","24"," 17.1"," 22.0","  41.0"," ","  14.0"," "," 0.04","G","999.9","000000"
"72224754785","2022-02-15","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  16.9","24","   4.2","24","1034.7","24","030.7","24"," 10.0","24","  1.9","24","  8.0","999.9","  30.9"," ","   3.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-16","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  27.0","24","  17.2","24","1037.8","24","033.9","24"," 10.0","24","  2.6","21","  8.9"," 15.9","  48.0"," ","   3.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-17","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  46.5","24","  37.3","24","1022.0","24","018.3","24"," 10.0","24","  3.6","23"," 11.1"," 21.0","  66.9","*","  30.9","*"," 0.00","G","999.9","000000"
"72224754785","2022-02-18","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  49.9","24","  37.0","24","1005.4","22","001.4","24","  9.3","24"," 12.2","24"," 20.0"," 36.9","  69.1"," ","  30.9"," "," 0.40","G","999.9","010000"
"72224754785","2022-02-19","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  27.6","24","  14.8","24","1016.7","22","012.4","24","  9.2","24","  5.6","23"," 24.1"," 31.1","  41.0","*","  16.0","*"," 0.11","G","999.9","101000"
"72224754785","2022-02-20","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  26.5","24","   5.2","24","1028.9","24","025.0","24"," 10.0","24","  6.4","23"," 18.1"," 29.9","  42.1"," ","  14.0"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-21","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  35.4","24","  20.6","24","1026.5","24","022.7","24"," 10.0","24","  1.4","22","  5.1","999.9","  60.1"," ","  14.0"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-22","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  39.2","24","  34.8","24","1023.9","22","020.1","24","  7.9","24","  2.4","22"," 12.0"," 18.1","  60.1"," ","  19.0"," "," 0.00","G","999.9","110000"
"72224754785","2022-02-23","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  59.2","24","  49.8","24","1014.1","21","010.4","24","  9.5","24","  4.6","24"," 18.1"," 25.1","  69.1","*","  50.0","*"," 0.19","G","999.9","000000"
"72224754785","2022-02-24","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  33.8","24","  15.7","24","1028.7","24","024.9","24"," 10.0","24","  6.4","23"," 14.0"," 22.0","  46.9","*","  28.9","*"," 0.00","G","999.9","000000"
"72224754785","2022-02-25","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  34.3","24","  26.6","24","1023.4","13","017.4","24","  7.2","24","  4.1","23"," 14.0"," 21.0","  44.1"," ","  28.0"," "," 0.44","G","999.9","011000"
"72224754785","2022-02-26","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  30.4","24","  14.8","24","1028.6","24","024.7","24"," 10.0","24","  6.3","24"," 13.0"," 20.0","  44.1"," ","  23.0"," "," 0.31","G","999.9","000000"
"72224754785","2022-02-27","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  33.8","24","  17.5","24","1018.8","24","015.0","24"," 10.0","24","  4.2","24"," 14.0"," 25.1","  50.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-02-28","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  33.8","24","   9.2","24","1021.6","24","017.8","24"," 10.0","24","  7.4","24"," 13.0"," 25.1","  50.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-03-01","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  33.5","24","  21.5","24","1021.9","24","018.1","24"," 10.0","24","  1.8","24","  8.9","999.9","  50.0"," ","  19.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-03-02","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  43.1","24","  28.7","24","1014.5","24","010.8","24","  9.7","24","  2.5","24","  8.0"," 15.0","  54.0"," ","  21.9"," "," 0.00","G","999.9","000000"
"72224754785","2022-03-03","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  38.7","24","  21.8","24","1015.5","22","011.6","24","  9.5","24","  7.1","24"," 17.1"," 26.0","  54.0"," ","  28.0"," "," 0.08","G","999.9","010000"
"72224754785","2022-03-04","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  28.1","24","   6.9","24","1031.8","24","028.0","24"," 10.0","24","  4.2","24","  9.9"," 17.1","  43.0"," ","  14.0"," "," 0.00","I","999.9","000000"
"72224754785","2022-03-05","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  31.9","24","  17.8","24","1031.4","24","027.5","24"," 10.0","24","  2.2","23","  7.0","999.9","  52.0"," ","  14.0"," "," 0.00","G","999.9","000000"
"72224754785","2022-03-06","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  49.6","24","  40.4","24","1018.7","21","015.5","24","  9.2","24","  1.9","23","  8.0"," 19.0","  68.0","*","  42.1","*"," 0.00","G","999.9","010000"
"72224754785","2022-03-07","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  65.3","24","  53.5","24","1008.4","24","004.9","24"," 10.0","24","  4.8","24"," 14.0"," 24.1","  75.9"," ","  42.1"," "," 0.06","G","999.9","000000"
"72224754785","2022-03-08","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  47.1","24","  25.8","24","1013.9","24","010.3","24"," 10.0","24"," 10.1","24"," 22.0"," 33.0","  75.9"," ","  37.9"," "," 0.09","G","999.9","010010"
"72224754785","2022-03-09","40.62406","-74.66898","30.1","SOMERSET AIRPORT, NJ US","  34.7","24","  30.3","24","1020.2","15","013.9","24","  7.3","24","  2.4","24","  7.0","999.9","  48.0"," ","  30.9"," "," 0.01","G","999.9","011000"
