"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72435463815","2022-01-01","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  64.2","24","  61.1","24","9999.9"," 0","972.2","19","  7.5","24","  5.9","24"," 22.0"," 31.1","  75.2","*","  57.2","*","99.99"," ","999.9","010010"
"72435463815","2022-01-02","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  51.8","24","  50.9","24","9999.9"," 0","975.7","24","  7.6","24","  4.3","24"," 12.0"," 18.1","  57.2","*","  37.4","*","99.99"," ","999.9","010000"
"72435463815","2022-01-03","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  31.3","24","  26.9","24","9999.9"," 0","988.1","24","  9.1","22","  7.6","24"," 15.9"," 24.1","  37.4","*","  28.4","*"," 0.00","I","999.9","000000"
"72435463815","2022-01-04","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  29.7","24","  25.5","24","9999.9"," 0","992.2","24","  9.4","24","  2.6","24"," 11.1"," 19.0","  44.6","*","  21.2","*"," 0.00","I","999.9","000000"
"72435463815","2022-01-05","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  44.5","24","  31.8","24","9999.9"," 0","980.3","24"," 10.0","24","  9.4","24"," 15.9"," 22.9","  51.8","*","  39.2","*"," 0.00","I","999.9","000000"
"72435463815","2022-01-06","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  32.6","24","  22.0","24","9999.9"," 0","982.3","24","  7.6","24","  4.5","24","  9.9"," 14.0","  46.4","*","  21.2","*","99.99"," ","999.9","101000"
"72435463815","2022-01-07","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  15.9","24","   9.9","24","9999.9"," 0","990.1","24","  6.9","24","  5.3","24"," 11.1"," 15.0","  21.2","*","  12.2","*","99.99"," ","999.9","001000"
"72435463815","2022-01-08","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  22.5","24","  12.7","24","9999.9"," 0","994.3","24"," 10.0","24","  2.1","24","  8.9"," 15.0","  48.2","*","  12.2","*"," 0.00","I","999.9","000000"
"72435463815","2022-01-09","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  47.2","24","  37.4","24","9999.9"," 0","989.0","24","  6.6","24","  6.4","24"," 15.0"," 22.9","  50.0","*","  39.2","*","99.99"," ","999.9","110000"
"72435463815","2022-01-10","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  30.4","24","  16.5","24","9999.9"," 0","997.7","24"," 10.0","24","  4.2","24"," 12.0"," 15.9","  39.2","*","  19.4","*"," 0.00","I","999.9","000000"
"72435463815","2022-01-11","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  28.8","24","  15.0","24","9999.9"," 0","999.1","24"," 10.0","24","  2.5","24","  7.0","  9.9","  39.2","*","  19.4","*"," 0.00","I","999.9","000000"
"72435463815","2022-01-12","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  35.3","24","  20.1","24","9999.9"," 0","991.6","24"," 10.0","24","  3.3","24"," 13.0"," 18.1","  51.8","*","  24.8","*"," 0.00","I","999.9","000000"
"72435463815","2022-01-13","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  42.3","24","  27.7","24","9999.9"," 0","981.1","24"," 10.0","24","  4.6","24"," 11.1"," 18.1","  50.0","*","  35.6","*"," 0.00","I","999.9","000000"
"72435463815","2022-01-14","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  36.5","24","  31.4","24","9999.9"," 0","982.1","24","  6.9","24","  3.4","24","  9.9"," 11.1","  46.4","*","  28.4","*"," 0.00","I","999.9","000000"
"72435463815","2022-01-15","37.05417","-84.61472","282.5","SOMERSET PULASKI CO JT WILSON AIRPORT, KY US","  35.4","24","  28.9","24","9999.9"," 0","985.4","24","  8.1","24","  5.5","24"," 13.0"," 14.0","  42.8","*","  28.4","*"," 0.00","I","999.9","000000"
