"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"86656099999","2022-01-01","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  77.8","24","  73.3","24","1012.5","21","983.8","24","999.9"," 0","  3.2","24","  7.0"," 13.8","  87.6"," ","  72.1"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-02","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  78.7","24","  72.1","24","1013.2","21","984.6","24","999.9"," 0","  3.4","24","  6.8"," 13.2","  87.8"," ","  72.7"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-03","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  77.4","24","  70.9","22","1013.4","21","984.7","24","999.9"," 0","  3.1","24","  6.0"," 14.6","  88.0"," ","  71.2"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-04","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  76.6","24","  68.5","20","1012.2","21","983.5","24","999.9"," 0","  2.3","24","  5.2"," 14.0","  87.1"," ","  67.3"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-05","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  78.0","24","  71.0","21","1011.6","21","983.1","24","999.9"," 0","  2.5","24","  5.6"," 14.0","  89.2"," ","  69.4"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-06","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  78.5","24","  73.5","24","1011.3","21","982.8","24","999.9"," 0","  2.5","24","  6.0"," 13.4","  88.0"," ","  72.3"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-07","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  79.1","24","  74.5","24","1010.9","21","982.4","24","999.9"," 0","  2.6","24","  6.4"," 13.8","  90.9"," ","  74.3"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-08","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  78.6","24","  74.8","23","1011.0","21","982.5","24","999.9"," 0","  1.7","24","  4.3"," 11.8","  88.5"," ","  72.1"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-09","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  77.7","24","  73.5","23","1013.0","21","984.1","24","999.9"," 0","  2.0","24","  5.4","  9.7","  83.8"," ","  72.0","*"," 0.00","I","999.9","000000"
"86656099999","2022-01-10","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  77.1","24","  72.8","22","1013.1","21","984.3","24","999.9"," 0","  2.0","24","  6.8"," 11.5","  83.7"," ","  71.6"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-11","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  78.8","22","  72.4","18","1012.7","19","984.0","22","999.9"," 0","  2.8","22","  8.0"," 15.2","  90.3"," ","  71.6"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-12","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  79.7","24","  70.7","24","1013.6","21","985.0","24","999.9"," 0","  3.8","24","  8.7"," 18.8","  90.0"," ","  70.9"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-13","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  79.0","24","  68.9","22","1015.2","21","986.4","24","999.9"," 0","  2.4","24","  4.9"," 12.6","  90.7"," ","  66.2"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-14","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  77.5","23","  71.7","20","1016.6","20","987.8","23","999.9"," 0","  2.9","23","  7.6"," 15.7","  89.4"," ","  69.6"," "," 0.00","I","999.9","000000"
"86656099999","2022-01-15","-12.5166666","-40.2833333","251.39","ITABERABA, BR","  77.5","24","  70.8","24","1015.8","21","987.2","24","999.9"," 0","  3.9","24"," 13.0"," 23.5","  86.9"," ","  68.9"," "," 0.00","I","999.9","000000"
