"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"42731099999","2022-01-01","22.3666666","69.0833333","11.0","DWARKA, IN","  70.5"," 8","  58.1"," 8","1017.9"," 8","999.9"," 0","  2.5"," 8","  1.0"," 8","  1.9","999.9","  77.0","*","  64.0"," "," 0.00","I","999.9","000000"
"42731099999","2022-01-02","22.3666666","69.0833333","11.0","DWARKA, IN","  71.6"," 8","  60.4"," 8","1016.4"," 8","999.9"," 0","  2.5"," 8","  3.5"," 8","  6.0","999.9","  78.8","*","  63.9"," "," 0.00","I","999.9","000000"
"42731099999","2022-01-03","22.3666666","69.0833333","11.0","DWARKA, IN","  72.9"," 8","  64.6"," 8","1015.6"," 8","999.9"," 0","  2.5"," 8","  3.4"," 8","  5.1","999.9","  78.4","*","  64.4"," "," 0.00","I","999.9","000000"
"42731099999","2022-01-04","22.3666666","69.0833333","11.0","DWARKA, IN","  74.6"," 8","  64.0"," 8","1014.9"," 8","999.9"," 0","  2.5"," 8","  3.2"," 8","  5.1","999.9","  83.5"," ","  66.2"," "," 0.00","I","999.9","000000"
"42731099999","2022-01-05","22.3666666","69.0833333","11.0","DWARKA, IN","  71.5"," 8","  63.9"," 8","1014.0"," 8","999.9"," 0","  2.5"," 8","  5.0"," 8"," 20.0","999.9","  77.0","*","  68.4"," "," 0.00","I","999.9","000000"
"42731099999","2022-01-06","22.3666666","69.0833333","11.0","DWARKA, IN","  71.0"," 8","  64.3"," 8","1013.6"," 8","999.9"," 0","  2.5"," 8","  2.7"," 8","  4.1","999.9","  75.9","*","  66.9"," "," 0.31","G","999.9","010000"
"42731099999","2022-01-07","22.3666666","69.0833333","11.0","DWARKA, IN","  71.1"," 8","  62.4"," 8","1013.2"," 8","999.9"," 0","  2.5"," 8","  6.3"," 8"," 12.0","999.9","  76.6","*","  62.6","*"," 0.03","G","999.9","000000"
"42731099999","2022-01-08","22.3666666","69.0833333","11.0","DWARKA, IN","  67.3"," 8","  50.9"," 8","1015.7"," 8","999.9"," 0","  2.5"," 8","  4.0"," 8","  6.0","999.9","  74.1"," ","  57.9"," "," 0.00","G","999.9","000000"
"42731099999","2022-01-09","22.3666666","69.0833333","11.0","DWARKA, IN","  67.0"," 8","  50.5"," 8","1016.0"," 8","999.9"," 0","  2.5"," 8","  4.1"," 8","  8.0","999.9","  72.7","*","  60.8"," "," 0.00","I","999.9","000000"
"42731099999","2022-01-10","22.3666666","69.0833333","11.0","DWARKA, IN","  65.5"," 8","  47.6"," 8","1016.7"," 8","999.9"," 0","  2.5"," 8","  3.7"," 8","  6.0","999.9","  72.7","*","  57.2"," "," 0.00","I","999.9","000000"
"42731099999","2022-01-11","22.3666666","69.0833333","11.0","DWARKA, IN","  64.7"," 8","  46.8"," 8","1017.5"," 8","999.9"," 0","  2.5"," 8","  2.5"," 8","  5.1","999.9","  72.0","*","  56.1"," "," 0.00","I","999.9","000000"
