"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03761099999","2022-01-01","51.234139","-0.942825","123.44","ODIHAM, UK","  54.7","24","  51.3","24","9999.9"," 0","999.9"," 0","  6.1","24"," 13.8","24"," 17.1","999.9","  57.9"," ","  53.1"," "," 0.13","G","999.9","010000"
"03761099999","2022-01-02","51.234139","-0.942825","123.44","ODIHAM, UK","  51.1","24","  47.3","24","9999.9"," 0","999.9"," 0","  6.0","24"," 15.3","24"," 21.0","999.9","  53.8","*","  47.5","*"," 0.06","G","999.9","010000"
"03761099999","2022-01-03","51.234139","-0.942825","123.44","ODIHAM, UK","  48.5","24","  44.3","24","9999.9"," 0","999.9"," 0","  6.4","24"," 12.9","24"," 18.1","999.9","  50.0","*","  46.4","*"," 0.02","G","999.9","000000"
"03761099999","2022-01-04","51.234139","-0.942825","123.44","ODIHAM, UK","  40.5","24","  36.5","24","9999.9"," 0","999.9"," 0","  6.3","24","  8.8","24"," 15.0","999.9","  46.4","*","  33.8","*"," 0.00","G","999.9","010000"
"03761099999","2022-01-05","51.234139","-0.942825","123.44","ODIHAM, UK","  36.3","24","  30.3","24","9999.9"," 0","999.9"," 0","  6.9","24","  9.1","24"," 14.0","999.9","  41.7"," ","  30.2","*"," 0.04","G","999.9","000000"
"03761099999","2022-01-06","51.234139","-0.942825","123.44","ODIHAM, UK","  36.4","24","  33.2","24","9999.9"," 0","999.9"," 0","  6.4","24","  9.4","24"," 20.0"," 28.9","  45.3","*","  24.8"," "," 0.00","G","999.9","010000"
"03761099999","2022-01-07","51.234139","-0.942825","123.44","ODIHAM, UK","  37.3","24","  33.5","24","9999.9"," 0","999.9"," 0","  7.1","24"," 11.5","24"," 19.0","999.9","  41.7","*","  32.0","*"," 0.07","G","  0.4","011000"
"03761099999","2022-01-08","51.234139","-0.942825","123.44","ODIHAM, UK","  43.5","24","  40.2","24","9999.9"," 0","999.9"," 0","  6.3","24"," 12.3","24"," 17.1","999.9","  50.4"," ","  33.3"," "," 0.19","G","999.9","010000"
"03761099999","2022-01-09","51.234139","-0.942825","123.44","ODIHAM, UK","  40.7","24","  35.2","24","9999.9"," 0","999.9"," 0","  6.7","24","  9.1","24"," 14.0","999.9","  46.4","*","  35.6","*"," 0.18","G","999.9","000000"
"03761099999","2022-01-10","51.234139","-0.942825","123.44","ODIHAM, UK","  43.4","24","  40.9","24","9999.9"," 0","999.9"," 0","  6.4","24","  6.2","24"," 12.0","999.9","  48.2","*","  37.0"," "," 0.00","G","999.9","010000"
